ID,Prompt,Code,label,Predicted Label
bb4d7c66-2f8a-439f-9b5d-954b4ef0ffc7,"Return true if the given string contains the substring ""bob"", but the middle ""o"" character can be any character.

public boolean bobThere(String str)
{
    
}","public boolean bobThere(String str) {
    for(int i = 0; i < str.length() -2; i++) {
        if(str.charAt(i) == 'b' && str.charAt(i+2) == 'b') {
            return true;
        }
    }
    return false;
}",0,1
de250d96-0168-439d-902a-08b9bc4f970e,"as a cs1 student you are trying to solve this assignment, how would you solve it
Given an array of int values, return true if the group of n numbers at the start of the array is the same as the group of n numbers at the end of the array. For example, with {5, 6, 45, 99, 13, 5, 6}, the ends are the same for n == 0 and n == 2, and false for n == 1 and n == 3. You may assume that n is in the range 0..nums.length, inclusive.
public boolean sameEnds(int[] nums, int n)
{
    
}","public boolean sameEnds(int[] nums, int n) {
    if (n == 0) {
        return true;
    }
    int len = nums.length;
    for (int i = 0; i < n; i++) {
        if (nums[i] != nums[len - 1 - i]) {
            return false;
        }
    }
    return true;
}",0,1
bffdc30c-da60-4bb4-bcd0-616229ca3970,"You are tasked with implementing a Java method called love6 that takes two integer parameters, a and b. The method should return true if either of the following conditions is met:

Either a or b is equal to 6.

The sum of a and b is equal to 6.

The absolute difference between a and b is equal to 6.

Use the Math.abs(num) method to compute the absolute value of a number. Write the complete implementation of the love6 method.

Example Usage:

love6(6, 4) should return true because one of the numbers is 6.

love6(4, 5) should return false because neither number is 6, their sum is not 6, and their difference is not 6.

love6(1, 5) should return true because their sum is 6.

love6(10, 4) should return true because their absolute difference is 6.

Write the Java code for the love6 method.","public boolean love6(int a, int b) {
    if (a == 6 || b == 6) {
        return true;
    } else if (a + b == 6) {
        return true;
    } else if (Math.abs(a - b) == 6) {
        return true;
    } else {
        return false;
    }
}",0,1
5ddf5092-c154-4bc6-835f-ffb359a85b31,"Given an integer array, return the sum of all numbers in the array, but ignore the section starting from the number 6 and continuing up to the next number 7 (each 6 will be followed by at least one 7). If the array is empty, return 0.

public int sum67(int[] nums)
{
    
}","public int sum67(int[] nums) {
    int sum = 0;
    boolean ignore = false;
    
    for(int i = 0; i < nums.length; i++) {
        if(nums[i] == 6) {
            ignore = true;
        } else if(nums[i] == 7) {
            ignore = false;
        } else if(!ignore) {
            sum += nums[i];
        }
    }
    
    return sum;
}",0,1
2d29c566-86a0-4d6e-96f3-b65fade791c2,"Given an integer array, return true if there are two adjacent 7s in the array or if there are two 7s separated by one element (e.g., {7, 1, 7}). Otherwise, return false.

public boolean has77(int[] nums)
{
    
}","public boolean has77(int[] nums) {
    for (int i = 0; i < nums.length-1; i++) {
        if (nums[i] == 7 && nums[i+1] == 7) {
            return true;
        }
        if (nums[i] == 7 && i+2 < nums.length && nums[i+2] == 7) {
            return true;
        }
    }
    return false;
}",0,1
1c8d18b7-a95c-4c93-87a0-0d98915d5778,"In an array, a ""clump"" refers to a sequence of two or more adjacent and identical elements. Return the number of clumps in the given array.

public int countClumps(int[] nums)
{
    
}","public int countClumps(int[] nums)
{
    int clumps = 0;
    boolean foundClump = false;

    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == nums[i + 1]) {
            if (!foundClump) {
                clumps++;
                foundClump = true;
            }
        } else {
            foundClump = false;
        }
    }

    return clumps;
}",0,1
1af08817-4c9e-4686-b0ec-68d99e4f023f,"Given a string, if the same two-character substring appears at both the beginning and the end of the string, return the string with the initial two-character substring removed. For example, ""HelloHe"" should return ""lloHe"".

Note that the initial two-character substring may overlap with the ending substring. For example, ""Hi"" should return """".

If the first two characters do not match the last two characters, return the original string unchanged.

public String without2(String str) 
{
    
}","public String without2(String str) {
    if(str.length() < 2)
        return str;
    else if(str.length() > 1 && str.substring(0,2).equals(str.substring(str.length() - 2)))
        return str.substring(2);
    return str;
}",0,1
ad1d6756-5499-48d1-b9b9-887f28241fc4,"Solve this ""
Return true if the given string contains a ""bob"" string, but where the middle 'o' character can be any character.
public boolean bobThere(String str)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.","public boolean bobThere(String str)
{
    for(int i = 0; i < str.length() - 2; i++)
    {
        if(str.substring(i, i + 3).equals(""bob""))
        {
            return true;
        }
    }
    return false;
}",0,1
940b985e-90d7-459a-8d80-810fc3100155,"Write a function in Java that implements the following logic: Given a string, return a string made of its first 2 chars. If the string length is less than 2, use '@' for the missing chars.
public String atFirst(String str)
{
    
}","public String atFirst(String str) {
    if (str.length() < 2) {
        String result = str + ""@"";
        return result.substring(0, 2);
    } else {
        return str.substring(0, 2);
    }
}",0,1
f9dabb8e-c46e-40ac-8aff-c21ceafdf3b0,"Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is the same as another of the values, it does not count towards the sum.
public int loneSum(int a, int b, int c)
{
    
}","public int loneSum(int a, int b, int c) {
    if(a == b && b == c)
        return 0;
    else if(a == b) 
        return c;
    else if(a == c) 
        return b;
    else if(b == c) 
        return a;
    else 
        return a + b + c;
}",0,1
8fd6105e-9e16-4b7f-b061-81f5684f2975,"Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}","public boolean xyzThere(String str) {
    int n = str.length();
    for(int i=0; i<=n-3; i++) {
        if(i == 0 || str.charAt(i-1) != '.') {
            if(str.substring(i, i+3).equals(""xyz"")) {
                return true;
            }
        }
    }
    return false;
}",0,1
63d56f69-9d77-439d-b0dd-fbbba1ac5794,"Write a function in Java that implements the following logic: Given three integer values a, b, and c, return their sum. However, if any of the values are the same as another, that value should not be included in the sum.

public int loneSum(int a, int b, int c)
{
    
}","public int loneSum(int a, int b, int c) {
    if (a == b && a == c)
        return 0;
    else if (a == b)
        return c;
    else if (a == c)
        return b;
    else if (b == c)
        return a;
    else
        return a + b + c;
}",0,1
